datetime,symbol,open,high,low,close,volume
2025-08-01 20:30:00,TVC:SPX,6278.07,6279.0,6240.5,6240.71,0.0
2025-08-01 20:45:00,TVC:SPX,6240.4,6243.5,6229.5,6232.48,0.0
2025-08-01 21:00:00,TVC:SPX,6232.34,6242.64,6214.42,6238.19,0.0
2025-08-01 21:15:00,TVC:SPX,6238.02,6254.16,6237.72,6252.29,0.0
2025-08-01 21:30:00,TVC:SPX,6252.67,6259.53,6242.16,6243.39,0.0
2025-08-01 21:45:00,TVC:SPX,6243.47,6255.97,6237.07,6238.68,0.0
2025-08-01 22:00:00,TVC:SPX,6238.67,6248.09,6233.96,6241.31,0.0
2025-08-01 22:15:00,TVC:SPX,6241.1,6248.08,6233.49,6234.24,0.0
2025-08-01 22:30:00,TVC:SPX,6234.24,6254.87,6233.09,6254.85,0.0
2025-08-01 22:45:00,TVC:SPX,6254.92,6259.47,6252.98,6259.42,0.0
2025-08-01 23:00:00,TVC:SPX,6259.49,6268.64,6258.66,6264.23,0.0
2025-08-01 23:15:00,TVC:SPX,6264.4,6268.62,6261.01,6261.96,0.0
2025-08-01 23:30:00,TVC:SPX,6261.86,6263.23,6248.64,6251.03,0.0
2025-08-01 23:45:00,TVC:SPX,6251.02,6255.59,6231.52,6232.9,0.0
2025-08-02 00:00:00,TVC:SPX,6232.81,6236.22,6226.12,6227.07,0.0
2025-08-02 00:15:00,TVC:SPX,6227.16,6231.49,6222.85,6224.37,0.0
2025-08-02 00:30:00,TVC:SPX,6224.1,6232.18,6221.08,6226.23,0.0
2025-08-02 00:45:00,TVC:SPX,6226.08,6232.66,6222.06,6225.05,0.0
2025-08-02 01:00:00,TVC:SPX,6225.05,6226.81,6212.68,6216.17,0.0
2025-08-02 01:15:00,TVC:SPX,6216.09,6236.51,6216.09,6235.02,0.0
2025-08-02 01:30:00,TVC:SPX,6235.09,6249.39,6233.19,6249.27,0.0
2025-08-02 01:45:00,TVC:SPX,6249.34,6249.77,6228.87,6233.39,0.0
2025-08-02 02:00:00,TVC:SPX,6233.09,6236.66,6229.56,6234.71,0.0
2025-08-02 02:15:00,TVC:SPX,6234.76,6241.52,6232.47,6237.21,0.0
2025-08-02 02:30:00,TVC:SPX,6237.27,6237.76,6228.75,6236.89,0.0
2025-08-02 02:45:00,TVC:SPX,6237.0,6251.85,6233.35,6237.29,0.0
2025-08-02 03:00:00,TVC:SPX,6236.46,6238.0,6236.46,6238.0,0.0
2025-08-04 20:30:00,TVC:SPX,6276.64,6298.96,6275.4,6297.77,0.0
2025-08-04 20:45:00,TVC:SPX,6297.86,6311.2,6297.86,6310.0,0.0
2025-08-04 21:00:00,TVC:SPX,6309.83,6312.17,6302.78,6309.55,0.0
2025-08-04 21:15:00,TVC:SPX,6309.61,6314.21,6308.47,6313.51,0.0
2025-08-04 21:30:00,TVC:SPX,6313.69,6313.69,6305.66,6306.36,0.0
2025-08-04 21:45:00,TVC:SPX,6306.46,6315.1,6304.32,6310.65,0.0
2025-08-04 22:00:00,TVC:SPX,6310.78,6314.8,6306.46,6314.28,0.0
2025-08-04 22:15:00,TVC:SPX,6314.28,6314.29,6306.2,6309.96,0.0
2025-08-04 22:30:00,TVC:SPX,6309.94,6313.78,6305.54,6308.25,0.0
2025-08-04 22:45:00,TVC:SPX,6308.24,6319.32,6307.35,6318.27,0.0
2025-08-04 23:00:00,TVC:SPX,6318.29,6320.34,6315.97,6316.61,0.0
2025-08-04 23:15:00,TVC:SPX,6316.8,6319.73,6316.33,6317.11,0.0
2025-08-04 23:30:00,TVC:SPX,6317.05,6319.84,6316.68,6318.67,0.0
2025-08-04 23:45:00,TVC:SPX,6318.73,6323.72,6318.52,6321.07,0.0
2025-08-05 00:00:00,TVC:SPX,6321.08,6324.48,6320.47,6324.35,0.0
2025-08-05 00:15:00,TVC:SPX,6324.39,6324.5,6321.54,6322.38,0.0
2025-08-05 00:30:00,TVC:SPX,6322.55,6324.06,6318.46,6318.99,0.0
2025-08-05 00:45:00,TVC:SPX,6319.02,6319.8,6313.9,6317.42,0.0
2025-08-05 01:00:00,TVC:SPX,6317.3,6322.28,6316.9,6317.98,0.0
2025-08-05 01:15:00,TVC:SPX,6317.83,6320.63,6317.05,6319.34,0.0
2025-08-05 01:30:00,TVC:SPX,6319.3,6323.16,6318.16,6318.94,0.0
2025-08-05 01:45:00,TVC:SPX,6318.9,6319.91,6316.92,6317.48,0.0
2025-08-05 02:00:00,TVC:SPX,6317.6,6321.43,6316.88,6320.77,0.0
2025-08-05 02:15:00,TVC:SPX,6320.84,6325.9,6320.65,6321.69,0.0
2025-08-05 02:30:00,TVC:SPX,6321.74,6324.44,6318.17,6322.43,0.0
2025-08-05 02:45:00,TVC:SPX,6322.38,6330.68,6321.64,6329.52,0.0
2025-08-05 03:00:00,TVC:SPX,6330.08,6330.08,6329.92,6329.93,0.0
2025-08-05 20:30:00,TVC:SPX,6336.47,6342.95,6331.73,6339.73,0.0
2025-08-05 20:45:00,TVC:SPX,6339.68,6345.99,6335.95,6338.86,0.0
2025-08-05 21:00:00,TVC:SPX,6339.48,6339.48,6321.95,6322.27,0.0
2025-08-05 21:15:00,TVC:SPX,6322.57,6324.81,6311.17,6316.99,0.0
2025-08-05 21:30:00,TVC:SPX,6317.08,6317.08,6295.15,6296.64,0.0
2025-08-05 21:45:00,TVC:SPX,6296.64,6298.41,6289.36,6298.16,0.0
2025-08-05 22:00:00,TVC:SPX,6298.12,6305.49,6293.37,6304.91,0.0
2025-08-05 22:15:00,TVC:SPX,6304.94,6305.65,6296.95,6298.4,0.0
2025-08-05 22:30:00,TVC:SPX,6298.72,6302.42,6291.06,6295.24,0.0
2025-08-05 22:45:00,TVC:SPX,6295.6,6300.36,6291.99,6300.04,0.0
2025-08-05 23:00:00,TVC:SPX,6300.0,6308.55,6299.19,6305.62,0.0
2025-08-05 23:15:00,TVC:SPX,6305.57,6310.87,6305.57,6309.86,0.0
2025-08-05 23:30:00,TVC:SPX,6309.87,6315.09,6302.05,6304.52,0.0
2025-08-05 23:45:00,TVC:SPX,6304.48,6310.98,6297.53,6308.48,0.0
2025-08-06 00:00:00,TVC:SPX,6308.41,6311.95,6306.33,6311.33,0.0
2025-08-06 00:15:00,TVC:SPX,6311.4,6317.07,6308.54,6316.22,0.0
2025-08-06 00:30:00,TVC:SPX,6316.26,6320.17,6314.87,6318.9,0.0
2025-08-06 00:45:00,TVC:SPX,6318.93,6322.31,6318.73,6320.79,0.0
2025-08-06 01:00:00,TVC:SPX,6320.86,6321.23,6313.57,6313.57,0.0
2025-08-06 01:15:00,TVC:SPX,6313.58,6313.75,6305.35,6306.18,0.0
2025-08-06 01:30:00,TVC:SPX,6306.35,6308.81,6301.9,6303.98,0.0
2025-08-06 01:45:00,TVC:SPX,6304.02,6306.87,6297.89,6303.33,0.0
2025-08-06 02:00:00,TVC:SPX,6303.31,6309.0,6302.72,6307.64,0.0
2025-08-06 02:15:00,TVC:SPX,6307.6,6309.8,6305.32,6308.86,0.0
2025-08-06 02:30:00,TVC:SPX,6308.93,6309.46,6301.92,6302.05,0.0
2025-08-06 02:45:00,TVC:SPX,6302.03,6305.17,6297.57,6299.18,0.0
2025-08-06 03:00:00,TVC:SPX,6299.11,6299.23,6299.11,6299.2,0.0
2025-08-06 20:30:00,TVC:SPX,6309.86,6314.1,6301.87,6308.81,0.0
2025-08-06 20:45:00,TVC:SPX,6309.24,6318.24,6303.89,6309.03,0.0
2025-08-06 21:00:00,TVC:SPX,6308.99,6324.44,6308.31,6314.16,0.0
2025-08-06 21:15:00,TVC:SPX,6314.13,6316.95,6301.1,6306.93,0.0
2025-08-06 21:30:00,TVC:SPX,6306.85,6321.46,6303.83,6320.56,0.0
2025-08-06 21:45:00,TVC:SPX,6320.61,6328.79,6318.36,6328.6,0.0
2025-08-06 22:00:00,TVC:SPX,6328.66,6329.55,6324.31,6328.93,0.0
2025-08-06 22:15:00,TVC:SPX,6329.0,6339.98,6328.41,6338.93,0.0
2025-08-06 22:30:00,TVC:SPX,6338.88,6343.77,6331.79,6340.33,0.0
2025-08-06 22:45:00,TVC:SPX,6340.34,6348.32,6339.9,6346.64,0.0
2025-08-06 23:00:00,TVC:SPX,6346.38,6348.15,6343.27,6344.49,0.0
2025-08-06 23:15:00,TVC:SPX,6344.5,6346.48,6341.48,6342.85,0.0
2025-08-06 23:30:00,TVC:SPX,6342.95,6348.16,6339.99,6340.03,0.0
2025-08-06 23:45:00,TVC:SPX,6340.13,6343.63,6337.82,6341.67,0.0
2025-08-07 00:00:00,TVC:SPX,6341.7,6345.61,6339.92,6340.56,0.0
2025-08-07 00:15:00,TVC:SPX,6340.44,6342.52,6338.89,6342.13,0.0
2025-08-07 00:30:00,TVC:SPX,6342.2,6346.02,6340.89,6344.54,0.0
2025-08-07 00:45:00,TVC:SPX,6344.5,6344.89,6339.0,6341.27,0.0
2025-08-07 01:00:00,TVC:SPX,6341.31,6349.48,6341.03,6347.04,0.0
2025-08-07 01:15:00,TVC:SPX,6347.01,6349.14,6345.39,6348.68,0.0
2025-08-07 01:30:00,TVC:SPX,6348.65,6350.76,6346.04,6347.63,0.0
2025-08-07 01:45:00,TVC:SPX,6347.59,6348.85,6344.4,6345.18,0.0
2025-08-07 02:00:00,TVC:SPX,6345.11,6347.92,6344.75,6346.38,0.0
2025-08-07 02:15:00,TVC:SPX,6346.36,6350.31,6345.82,6349.0,0.0
2025-08-07 02:30:00,TVC:SPX,6348.98,6352.82,6348.37,6348.56,0.0
2025-08-07 02:45:00,TVC:SPX,6348.66,6349.05,6343.19,6344.66,0.0
2025-08-07 03:00:00,TVC:SPX,6345.26,6345.37,6345.05,6345.05,0.0
2025-08-07 20:30:00,TVC:SPX,6379.42,6389.7,6375.51,6382.26,0.0
2025-08-07 20:45:00,TVC:SPX,6382.08,6384.48,6373.35,6384.01,0.0
2025-08-07 21:00:00,TVC:SPX,6384.08,6387.94,6363.27,6365.83,0.0
2025-08-07 21:15:00,TVC:SPX,6365.84,6366.12,6350.74,6356.61,0.0
2025-08-07 21:30:00,TVC:SPX,6356.93,6359.5,6351.8,6359.5,0.0
2025-08-07 21:45:00,TVC:SPX,6359.48,6361.74,6343.64,6346.38,0.0
2025-08-07 22:00:00,TVC:SPX,6346.81,6350.29,6340.42,6341.31,0.0
2025-08-07 22:15:00,TVC:SPX,6341.25,6349.2,6337.15,6338.8,0.0
2025-08-07 22:30:00,TVC:SPX,6338.88,6343.05,6335.83,6337.23,0.0
2025-08-07 22:45:00,TVC:SPX,6337.19,6341.59,6333.18,6338.26,0.0
2025-08-07 23:00:00,TVC:SPX,6337.78,6342.14,6331.69,6341.06,0.0
2025-08-07 23:15:00,TVC:SPX,6341.07,6344.85,6339.21,6341.82,0.0
2025-08-07 23:30:00,TVC:SPX,6341.87,6344.67,6323.99,6324.66,0.0
2025-08-07 23:45:00,TVC:SPX,6324.88,6338.94,6319.87,6331.88,0.0
2025-08-08 00:00:00,TVC:SPX,6331.84,6337.86,6323.21,6325.0,0.0
2025-08-08 00:15:00,TVC:SPX,6325.01,6329.07,6319.44,6319.44,0.0
2025-08-08 00:30:00,TVC:SPX,6319.47,6324.73,6316.13,6323.54,0.0
2025-08-08 00:45:00,TVC:SPX,6323.45,6329.45,6321.98,6326.87,0.0
2025-08-08 01:00:00,TVC:SPX,6326.83,6328.96,6315.0,6317.41,0.0
2025-08-08 01:15:00,TVC:SPX,6317.41,6318.46,6310.33,6318.05,0.0
2025-08-08 01:30:00,TVC:SPX,6317.92,6322.09,6313.84,6314.95,0.0
2025-08-08 01:45:00,TVC:SPX,6314.93,6327.4,6314.71,6324.53,0.0
2025-08-08 02:00:00,TVC:SPX,6324.51,6326.68,6321.04,6321.46,0.0
2025-08-08 02:15:00,TVC:SPX,6321.39,6323.62,6319.39,6321.89,0.0
2025-08-08 02:30:00,TVC:SPX,6322.4,6331.78,6322.06,6331.53,0.0
2025-08-08 02:45:00,TVC:SPX,6331.6,6340.86,6327.71,6340.86,0.0
2025-08-08 03:00:00,TVC:SPX,6341.57,6341.57,6339.99,6339.99,0.0
2025-08-08 20:30:00,TVC:SPX,6355.21,6367.0,6355.21,6365.42,0.0
2025-08-08 20:45:00,TVC:SPX,6365.66,6377.63,6365.66,6376.34,0.0
2025-08-08 21:00:00,TVC:SPX,6376.42,6386.42,6375.94,6379.8,0.0
2025-08-08 21:15:00,TVC:SPX,6379.77,6383.45,6376.64,6383.07,0.0
2025-08-08 21:30:00,TVC:SPX,6383.14,6388.96,6381.65,6384.11,0.0
2025-08-08 21:45:00,TVC:SPX,6384.09,6384.09,6375.78,6376.76,0.0
2025-08-08 22:00:00,TVC:SPX,6377.01,6383.26,6374.94,6382.01,0.0
2025-08-08 22:15:00,TVC:SPX,6382.05,6382.42,6376.99,6378.99,0.0
2025-08-08 22:30:00,TVC:SPX,6378.93,6379.07,6367.97,6368.26,0.0
2025-08-08 22:45:00,TVC:SPX,6368.23,6382.56,6367.99,6382.13,0.0
2025-08-08 23:00:00,TVC:SPX,6382.12,6386.38,6381.87,6386.08,0.0
2025-08-08 23:15:00,TVC:SPX,6386.09,6391.32,6385.58,6388.2,0.0
2025-08-08 23:30:00,TVC:SPX,6388.09,6390.14,6385.5,6388.52,0.0
2025-08-08 23:45:00,TVC:SPX,6388.59,6389.69,6383.41,6384.45,0.0
2025-08-09 00:00:00,TVC:SPX,6384.4,6385.67,6380.52,6384.05,0.0
2025-08-09 00:15:00,TVC:SPX,6384.03,6386.68,6380.07,6382.44,0.0
2025-08-09 00:30:00,TVC:SPX,6382.53,6390.77,6382.38,6389.81,0.0
2025-08-09 00:45:00,TVC:SPX,6389.81,6392.15,6388.67,6390.61,0.0
2025-08-09 01:00:00,TVC:SPX,6390.75,6395.15,6390.75,6392.25,0.0
2025-08-09 01:15:00,TVC:SPX,6392.26,6393.95,6388.31,6390.59,0.0
2025-08-09 01:30:00,TVC:SPX,6390.65,6393.48,6390.41,6392.21,0.0
2025-08-09 01:45:00,TVC:SPX,6392.25,6393.74,6390.72,6390.81,0.0
2025-08-09 02:00:00,TVC:SPX,6390.92,6391.68,6389.1,6390.63,0.0
