datetime,symbol,open,high,low,close,volume
2025-07-01 20:30:00,TVC:DJI,44061.48,44144.69,44013.53,44141.81,0.0
2025-07-01 20:45:00,TVC:DJI,44141.89,44239.17,44141.87,44178.08,0.0
2025-07-01 21:00:00,TVC:DJI,44178.94,44268.25,44171.74,44243.58,0.0
2025-07-01 21:15:00,TVC:DJI,44244.95,44320.11,44244.5,44313.8,0.0
2025-07-01 21:30:00,TVC:DJI,44313.07,44376.25,44308.81,44328.95,0.0
2025-07-01 21:45:00,TVC:DJI,44329.38,44369.69,44313.37,44357.63,0.0
2025-07-01 22:00:00,TVC:DJI,44355.56,44424.46,44347.64,44390.98,0.0
2025-07-01 22:15:00,TVC:DJI,44390.37,44536.0,44381.05,44519.54,0.0
2025-07-01 22:30:00,TVC:DJI,44519.39,44544.7,44464.04,44467.91,0.0
2025-07-01 22:45:00,TVC:DJI,44466.94,44521.52,44464.98,44512.51,0.0
2025-07-01 23:00:00,TVC:DJI,44512.93,44591.08,44512.93,44587.5,0.0
2025-07-01 23:15:00,TVC:DJI,44587.3,44604.16,44525.36,44542.02,0.0
2025-07-01 23:30:00,TVC:DJI,44541.9,44558.27,44469.8,44472.91,0.0
2025-07-01 23:45:00,TVC:DJI,44477.69,44511.91,44430.5,44431.4,0.0
2025-07-02 00:00:00,TVC:DJI,44429.61,44482.22,44412.03,44475.66,0.0
2025-07-02 00:15:00,TVC:DJI,44476.69,44531.51,44468.88,44529.54,0.0
2025-07-02 00:30:00,TVC:DJI,44528.17,44553.58,44515.7,44551.56,0.0
2025-07-02 00:45:00,TVC:DJI,44552.84,44569.35,44534.72,44561.59,0.0
2025-07-02 01:00:00,TVC:DJI,44562.19,44573.04,44518.09,44532.73,0.0
2025-07-02 01:15:00,TVC:DJI,44532.75,44538.77,44497.39,44520.08,0.0
2025-07-02 01:30:00,TVC:DJI,44519.97,44550.67,44515.87,44547.37,0.0
2025-07-02 01:45:00,TVC:DJI,44547.37,44586.62,44547.37,44563.82,0.0
2025-07-02 02:00:00,TVC:DJI,44563.55,44563.55,44492.07,44531.2,0.0
2025-07-02 02:15:00,TVC:DJI,44531.43,44578.13,44531.43,44567.15,0.0
2025-07-02 02:30:00,TVC:DJI,44566.74,44569.94,44525.45,44558.76,0.0
2025-07-02 02:45:00,TVC:DJI,44557.88,44591.35,44485.37,44495.85,0.0
2025-07-02 20:30:00,TVC:DJI,44455.65,44501.08,44355.79,44426.02,0.0
2025-07-02 20:45:00,TVC:DJI,44425.23,44441.72,44377.8,44406.26,0.0
2025-07-02 21:00:00,TVC:DJI,44410.93,44424.86,44360.53,44378.81,0.0
